;HashId;ProjectName;UpdateAt;TimeToUpdate;CreatedAt;Age;PrimaryLanguage;Stargazers;TotalOfPullRequests;TotalOfReleases;TotalOfIssues;TotalOfClosedIssues
146;MDEwOlJlcG9zaXRvcnkxNTExMTgyMQ==;grafana/grafana;19/08/2021;0;11/12/2013;2807;TypeScript;43435;14055;239;21168;19001
147;MDEwOlJlcG9zaXRvcnk2NTI1Mg==;jekyll/jekyll;19/08/2021;0;20/10/2008;4685;Ruby;43159;2942;100;4440;4352
148;MDEwOlJlcG9zaXRvcnkxNDczNTA0NjM=;leonardomso/33-js-concepts;19/08/2021;0;04/09/2018;1079;JavaScript;43094;107;0;31;27
149;MDEwOlJlcG9zaXRvcnkzMjE0NDA2;meteor/meteor;18/08/2021;0;19/01/2012;3499;JavaScript;42558;1412;0;8564;8467
150;MDEwOlJlcG9zaXRvcnkyMTczNzI2Ng==;sindresorhus/awesome-nodejs;19/08/2021;0;11/07/2014;2595;-;42071;378;0;92;90
151;MDEwOlJlcG9zaXRvcnk0NzAxODIzOQ==;DopplerHQ/awesome-interview-questions;18/08/2021;0;28/11/2015;2090;-;42059;167;0;27;27
152;MDEwOlJlcG9zaXRvcnkyMDMwMDE3Nw==;google/guava;19/08/2021;0;29/05/2014;2638;Java;42053;352;32;3274;2637
153;MDEwOlJlcG9zaXRvcnk0NjYyOTMwNQ==;NARKOZ/hacker-scripts;18/08/2021;0;21/11/2015;2097;JavaScript;41655;62;0;66;33
154;MDEwOlJlcG9zaXRvcnk4Mzk5OTcwMA==;sdmg15/Best-websites-a-programmer-should-visit;18/08/2021;0;05/03/2017;1627;-;41634;301;0;57;56
155;MDEwOlJlcG9zaXRvcnkyMjg4NzA5NA==;tesseract-ocr/tesseract;19/08/2021;0;12/08/2014;2563;C++;41455;1199;12;2131;1806
156;MDEwOlJlcG9zaXRvcnk1NDgzMzMw;soimort/you-get;19/08/2021;0;20/08/2012;3285;Python;41380;541;113;0;0
157;MDEwOlJlcG9zaXRvcnk1Mjk1MDI=;scrapy/scrapy;18/08/2021;0;22/02/2010;4195;Python;41334;1708;20;2496;2009
158;MDEwOlJlcG9zaXRvcnkxNTYzNDk4MQ==;godotengine/godot;19/08/2021;0;04/01/2014;2783;C++;41132;17308;31;29052;23660
159;MDEwOlJlcG9zaXRvcnkyODQyODcyOQ==;wasabeef/awesome-android-ui;19/08/2021;0;24/12/2014;2429;-;41113;89;0;89;89
160;MDEwOlJlcG9zaXRvcnk4Mzg0NDcyMA==;ageitgey/face_recognition;19/08/2021;0;03/03/2017;1629;Python;41094;87;2;1161;546
161;MDEwOlJlcG9zaXRvcnk0MDQxNjIzNg==;minimaxir/big-list-of-naughty-strings;18/08/2021;0;08/08/2015;2202;Python;41031;90;0;79;28
162;MDEwOlJlcG9zaXRvcnk0NTk4NjE2Mg==;aymericdamien/TensorFlow-Examples;19/08/2021;0;11/11/2015;2107;Jupyter Notebook;41011;87;0;225;68
163;MDEwOlJlcG9zaXRvcnk1MTUyMjg1;square/okhttp;19/08/2021;0;23/07/2012;3313;Kotlin;40629;2666;0;3462;3348
164;MDEwOlJlcG9zaXRvcnkzNDMwMjY5OA==;serverless/serverless;19/08/2021;0;21/04/2015;2311;JavaScript;40513;3687;279;5315;4436
165;MDEwOlJlcG9zaXRvcnk3NTEwNDEyMw==;prettier/prettier;18/08/2021;0;29/11/2016;1723;JavaScript;40327;5164;75;5103;4382
